cell,table,format,schema,granularity,heap,load_status,load_secs,load_peak_heap_mb,load_peak_rss_mb,q1_das_ms,q2_cruise_ms,q3_var200_ms,q4_dump_ms,q2_bytes,q3_bytes,q4_bytes,query_peak_heap_mb,query_peak_rss_mb
thin_netcdf_wide_split,thin,netcdf,wide,split,2g,loaded,15,879,2965,4,53,1282,122,181648,12100017,1181671,879,3107
thin_netcdf_wide_lumped,thin,netcdf,wide,lumped,2g,loaded,18,973,3546,5,384,743,877,181648,12100017,1181671,1493,3689
thin_parquet_wide_split,thin,parquet,wide,split,2g,loaded,10,66,2599,5,204,2897,361,181648,12100017,1181674,1142,2678
thin_parquet_wide_lumped,thin,parquet,wide,lumped,2g,loaded,18,1546,2991,4,1495,2052,3295,181648,12100017,1181674,1662,3268
thin_csv_wide_split,thin,csv,wide,split,2g,loaded,21,1057,2816,4,143,2759,109,181648,12100017,1181674,1057,2840
thin_csv_wide_lumped,thin,csv,wide,lumped,2g,loaded,22,1141,3022,4,2331,2906,6180,181648,12100017,1181674,1456,3393
thin_duckdb_wide,thin,duckdb,wide,na,2g,loaded,10,66,3257,4,535,2154,630,181648,12100017,1181674,1117,3257
meas_netcdf_wide_split,measurement,netcdf,wide,split,2g,loaded,29,1099,4725,5,412,7459,809,2572481,127774023,16467016,1099,4789
meas_duckdb_wide,measurement,duckdb,wide,na,2g,loaded,10,65,3302,5,4188,76548,3008,2572481,127774023,16467019,730,7931
meas_parquet_wide_split,measurement,parquet,wide,split,2g,loaded,67,1849,4036,5,1007,23546,1230,2572481,127774023,16467019,1849,4131
meas_netcdf_wide_lumped,measurement,netcdf,wide,lumped,2g,timeout,302,2044,6868,-1,-1,-1,-1,0,0,0,2044,6868
meas_parquet_wide_lumped,measurement,parquet,wide,lumped,2g,loaded,98,1655,4521,4,19619,23221,73675,2572481,127774023,NA,1655,4636
meas_parquet_long_split,measurement,parquet,long,split,2g,timeout,241,1981,5933,-1,-1,-1,-1,0,0,0,1981,5933
meas_duckdb_long,measurement,duckdb,long,na,2g,loaded,11,63,3018,8,4863,23896,99139,5122086,140611985,612216909,1555,7705
thin_parquet_long_lumped,thin,parquet,long,lumped,2g,loaded,10,66,2696,3,12830,13896,34356,181646,11728431,11071126,1730,3660
thin_csv_long_lumped,thin,csv,long,lumped,2g,timeout,203,1635,3500,-1,-1,-1,-1,0,0,0,1635,3500
thin_duckdb_long,thin,duckdb,long,na,2g,loaded,5,66,2993,8,686,1699,1807,181646,11728431,11071126,1124,3017
